AutoId,Department,Category,Product_Name,Size,Barcode,Case_QTY,Standard_Price,Vendor,Vendor Code,Tax_Code,Inventory,Description_One,other_upc,other_vc,
4146,Beer,Beer,Four Loko Watermln 24 OZ - Single,Single,895216001077,1,3.3,Atlas,0,No,,Four Loko Watermln 24 OZ,,,
4147,Beer,Craft,Four Phantom Battle Jacke - 4 Pack,4 Pack,860001533286,4,11.99,Homegrown,0,No,,Four Phantom Battle Jacke,,,
4148,Beer,Craft,Four Phantom Flip Flops - 4 Pack,4 Pack,860001533248,4,14.99,Homegrown,0,No,,Four Phantom Flip Flops,,,
4149,Beer,Craft,Four Phantoms Baroness - 4 Pack,4 Pack,860001533217,4,12.99,Homegrown,0,No,,Four Phantoms Baroness,,,
4150,Beer,Craft,Four Phantoms Dirt Weed - 4 Pack,4 Pack,860001533224,4,17.99,Homegrown,0,No,,Four Phantoms Dirt Weed,,,
4151,Beer,Craft,Four Phantoms Hampshire C - 4 Pack,4 Pack,860001533231,4,16.99,Homegrown,0,No,,Four Phantoms Hampshire C,,,
4152,Beer,Craft,Four Phantoms Thaw NEIPA - 4 Pack,4 Pack,860001533200,4,16.99,Homegrown,0,No,,Four Phantoms Thaw NEIPA,,,
4153,Beer,Craft,Four Phantoms THe Purple - 4 Pack,4 Pack,860001533279,4,14.99,Homegrown,0,No,,Four Phantoms THe Purple,,,
4154,Beer,Craft,Four Phantoms Worship Doo - 4 Pack,4 Pack,860001533255,4,16.99,Homegrown,0,No,,Four Phantoms Worship Doo,,,
4155,Beer,Craft,Four Phanton Speed Wolf - 4 Pack,4 Pack,860001533262,4,16.99,,0,No,,Four Phanton Speed Wolf,,,
4156,Beer,Craft,Four Quarters Cosmic - 4 Pack,4 Pack,850042470145,4,19.99,Craft Collective,0,No,,Four Quarters Cosmic,,,
4157,Beer,Craft,Four Quarters First Light - 4 Pack,4 Pack,854011008780,4,19.99,Craft Collective,0,No,,Four Quarters First Light,,,
4158,Beer,Craft,Four Quarters Ghosts In S - 4 Pack,4 Pack,854011008001,4,19.99,Craft Collective,0,No,,Four Quarters Ghosts In S,,,
4159,Beer,Craft,Four Quarters Night Shift - 4 Pack,4 Pack,854011008742,4,19.99,Craft Collective,0,No,,Four Quarters Night Shift,,,
4160,Beer,Craft,Four Quarters Phaze - 4 Pack,4 Pack,860217000800,4,16.99,Craft Collective,0,No,,Four Quarters Phaze,,,
4161,Beer,Craft,Four Quarters Sugar Plum - 4 Pack,4 Pack,850042470039,4,19.99,Craft Collective,0,No,,Four Quarters Sugar Plum,,,
4162,Beer,Craft,Four Quarters Sundog - 4 Pack,4 Pack,860217000824,4,19.99,Craft Collective,0,No,,Four Quarters Sundog,,,
4163,Beer,Craft,Four Quarters Watermelon - 4 Pack,4 Pack,854011008322,4,19.99,Craft Collective,0,No,,Four Quarters Watermelon,,,
4164,Liquor,Bourbon,Four Roses Bourbon - 1.75L,1.75L,40063400430,6,36.99,MSWalker,178353,No,12,Four Roses Bourbon,,,
4165,Liquor,Bourbon,Four Roses Bourbon - 750ML,750ML,40063400409,12,25.99,MSWalker,178360,No,24,Four Roses Bourbon,,,
4166,Liquor,Bourbon,Four Roses Single Barrel - 750ML,750ML,40063400027,6,54.99,MSWalker,178364,No,12,Four Roses Single Barrel,,,
4167,Liquor,Bourbon,Four Roses SM Batch Selec - 750ML,750ML,40232288333,6,62.99,MSWalker,113108,No,12,Four Roses SM Batch Selec,,,
4168,Liquor,Bourbon,Four Roses Small Batch - 750ML,750ML,40063400317,6,36.99,MSWalker,178368,No,24,Four Roses Small Batch,,,
4169,Wine,Other Catogory,FOUR VINES 20 LODI OV ZIN - 750ML,750ML,761180802005,12,10.99,MSWalker,404653,No,12,FOUR VINES 20 LODI OV ZIN,761180802005,,
4170,Wine,Other Catogory,FOUR VINES 21 CHARD NAKED - 750ML,750ML,761180801008,12,10.99,MSWalker,404650,No,12,FOUR VINES 21 CHARD NAKED,761180801008,,
4171,Beer,Craft,FourQuarters DIPA - 4 Pack,4 Pack,850007885601,4,21.99,Craft Collective,0,No,,FourQuarters DIPA,,,
4172,Beer,Craft,Framingham Lager - 4 Pack,4 Pack,662425086917,4,11.99,Craft Brewers,0,No,,Framingham Lager,,,
4173,Liquor,Cordials & Liqueurs,Francesca Hazelnut - 750ML,750ML,88004016487,12,12.99,Horizon Coastal,22455,No,,Francesca Hazelnut,,,
4174,Wine,Other Catogory,FRANCISCAN CABERNET SAUV - 750ML,750ML,83085200220,12,18.99,Commonwealth,735053,No,48,FRANCISCAN CABERNET SAUV,83085200220,,
4175,Wine,Other Catogory,FRANCISCAN CHARDONNAY - 750ML,750ML,83085210007,12,14.99,Commonwealth,736213,No,36,FRANCISCAN CHARDONNAY,83085210007,,
4176,Wine,Other Catogory,FRANCISCAN SAUVIGNON BLANC - 750ML,750ML,83085908126,12,14.99,Commonwealth,735073,No,12,FRANCISCAN SAUVIGNON BLANC,83085908126,,
4177,Liquor,Cordials & Liqueurs,Frangelico Liqueur - 750ML,750ML,721059987509,12,31.99,Horizon Premium,0,No,12,Frangelico Liqueur,,,
4178,Liquor,Other Catogory,FRANGELICO LIQUEUR 12/CS      -375M,375ML,721059983754,12,19.99,Horizon Premium,0,No,12,FRANGELICOLIQUEUR12/CS,721059983754,340414,
4179,Beer,Craft,Franks BL Mary Ori - 4 Pack,4 Pack,831439000107,4,9,,0,No,,Franks BL Mary Ori,,,
